baseline_label,followup_label,category,baseline_volume_mm3,followup_volume_mm3,volume_change_mm3,volume_change_percent
3.0,4.0,shrinking,1194.0,827.0,-367.0,-30.73701842546064
4.0,3.0,present,1063.0,963.0,-100.0,-9.407337723424272
1.0,1.0,present,15632.0,14347.0,-1285.0,-8.220317297850563
6.0,6.0,shrinking,203.0,137.0,-66.0,-32.51231527093596
2.0,2.0,present,1354.0,1097.0,-257.0,-18.9807976366322
9.0,9.0,shrinking,94.0,46.0,-48.0,-51.06382978723404
14.0,7.0,enlarged,49.0,79.0,30.0,61.224489795918366
15.0,10.0,present,45.0,37.0,-8.0,-17.77777777777778
5.0,5.0,shrinking,374.0,246.0,-128.0,-34.22459893048128
7.0,nan,resolved,175.0,0.0,-175.0,-100.0
8.0,nan,resolved,123.0,0.0,-123.0,-100.0
10.0,nan,resolved,93.0,0.0,-93.0,-100.0
11.0,nan,resolved,72.0,0.0,-72.0,-100.0
12.0,nan,resolved,58.0,0.0,-58.0,-100.0
13.0,nan,resolved,51.0,0.0,-51.0,-100.0
16.0,nan,resolved,39.0,0.0,-39.0,-100.0
17.0,nan,resolved,39.0,0.0,-39.0,-100.0
18.0,nan,resolved,16.0,0.0,-16.0,-100.0
,8.0,new,0.0,66.0,66.0,inf
,11.0,new,0.0,16.0,16.0,inf
,12.0,new,0.0,11.0,11.0,inf
